,Quarter,Net income in million U.S. dollars
0,Q3 '20,272.0
1,Q2 '20,243.0
2,Q1 '20,293.0
3,Q4 '19,243.0
4,Q3 '19,246.0
5,Q2 '19,263.0
6,Q1 '19,162.0
7,Q4 '18,251.05
8,Q3 '18,343.05
9,Q2 '18,292.35
10,Q1 '18,289.44
11,Q4 '17,-37.0
12,Q3 '17,275.72
13,Q2 '17,202.11
14,Q1 '17,207.07
15,Q4 '16,204.63
16,Q3 '16,193.9
17,Q2 '16,174.97
18,Q1 '16,172.44
19,Q4 '15,134.63
20,Q3 '15,166.55
21,Q2 '15,102.85
22,Q1 '15,105.69
23,Q4 '14,143.12
24,Q3 '14,136.17
25,Q2 '14,119.96
26,Q1 '14,93.99
27,Q4 '13,65.2
28,Q3 '13,62.88
29,Q2 '13,125.52
30,Q1 '13,123.6
31,Q4 '12,156.24
32,Q3 '12,74.51
33,Q2 '12,3134.17
34,Q1 '12,107.77
35,Q4 '11,71.34
36,Q3 '11,104.19
37,Q2 '11,173.32
38,Q1 '11,78.12
