,player,Market value in million euros
0,Wahbi Khazri,10.0
1,Ellyes Skhiri,10.0
2,Naïm Sliti,7.0
3,Saîf-Eddine Khaoui,5.0
4,Dylan Bronn,3.5
5,Oussama Haddadi,3.0
6,Bassem Srarfi,3.0
7,Mohamed Amine Ben Amor,1.9
8,Ferjani Sassi,1.6
9,Ali Maâloul,1.5
10,Anice Badri,1.2
11,Hamdi Nagguez,1.2
12,Yassine Meriah,1.2
13,Yohan Benalouane,1.0
14,Saber Khalifa,1.0
15,Mouez Hassen,1.0
16,Fakhreddine Ben Youssef,1.0
17,Ghaylène Chaalali,0.9
18,Syam Ben Youssef,0.8
19,Rami Bedoui,0.8
20,Ahmed Khalil,0.8
21,Farouk Ben Mustapha,0.78
22,Balbouli,0.7
