,public relations agency,Client retention rate
0,Dur,100%
1,Pilot PMR,99%
2,Janice McCafferty PR,99%
3,Paul Werth Associates,98%
4,Racepoint Global,98%
5,42 West,98%
6,Public Communications,97%
7,Edelman,97%
8,Crenshaw Communications,97%
9,Hart Associates Inc.,97%
10,Blue Water Communications,97%
11,Powell Tate,96%
12,Anderson Group Public Relations,96%
13,"Gagen MacDonald, LLC",96%
14,Prosek Partners,96%
15,JCPR,96%
16,Blaze,96%
17,Zeno Group,96%
18,PetersGroup,95%
19,Energi PR,95%
20,Patriot Strategies,95%
21,"Fujita & Miura Public Relations, Inc.",95%
22,Renata Parker PR LLC,95%
23,GolinHarris,95%
24,GaileyMurray Communications,95%
25,"Payton Communications, LLC",95%
26,NP Strategy,95%
