,Year,Inflation rate compared to previous year
0,2025*,12.21%
1,2024*,12.21%
2,2023*,12.21%
3,2022*,15.12%
4,2021*,15.12%
5,2020*,22.26%
6,2019,4.56%
7,2018,-1.2%
8,2017,28.05%
9,2016,24.01%
10,2015,14.85%
11,2014,2.43%
12,2013,2.59%
13,2012,6.07%
14,2011,15.9%
15,2010,2.46%
16,2009,2.45%
17,2008,10.4%
18,2007,6.21%
19,2006,1.47%
20,2005,2.66%
21,2004,1.25%
22,2003,-2.06%
23,2002,-9.86%
24,2001,-8.84%
25,2000,-2.91%
26,1999,2.57%
27,1998,3.72%
28,1997,3.59%
29,1996,4%
30,1995,8.34%
31,1994,10.67%
32,1993,7.47%
33,1992,9.45%
34,1991,11.7%
35,1990,0.72%
36,1989,4.46%
37,1988,3.13%
38,1987,4.42%
39,1986,3.38%
40,1985,9.11%
