,State,Tuition and fees in U.S. dollars
0,District of Columbia,42004
1,Massachusetts,35106
2,Rhode Island,31253
3,Connecticut,29567
4,Vermont,28324
5,New Hampshire,27613
6,Pennsylvania,27213
7,New York,26276
8,Illinois,25918
9,Maine,23279
10,Minnesota,21837
11,New Jersey,21772
12,Oregon,19609
13,Maryland,19368
14,Iowa,18940
15,Virginia,17468
16,Ohio,17350
17,Tennessee,16963
18,Indiana,16720
19,Missouri,16614
20,North Carolina,16168
21,South Carolina,16130
22,California,15864
23,Michigan,15466
24,Kentucky,14952
25,Wisconsin,14661
26,Nebraska,14659
27,Louisiana,14299
28,Texas,13753
29,Colorado,13728
30,Washington,13459
31,Kansas,12697
32,South Dakota,12290
33,Arizona,12074
34,Oklahoma,11923
35,Alabama,11915
36,Georgia,11802
37,Hawaii,11612
38,Delaware,11478
39,Arkansas,10978
40,West Virginia,10448
41,Florida,10212
42,Mississippi,9367
43,Montana,9058
44,North Dakota,8691
45,Utah,7857
46,New Mexico,7348
47,Idaho,7204
48,Alaska,6763
49,Nevada,6594
50,Wyoming,5217
