,Year,Number of Facebook interactions in millions
0,2014 FIFA World Cup (Jun 12-Jul13),3000
1,"2016 Rio Olympic Games (Aug 5-21, 2016)",1500
2,2015 Cricket World Cup (Jan 1-Mar 29),700
3,2014 Presidential Election in Brazil,674
4,2015 Carnival in Brazil (Feb13-Feb 17),534
5,"2014 FIFA World Cup (first week of tournament, June 12-18)",459
6,Indian Premier League 10 (IPL 10) Apr-May 2017,350
7,2015 Indian Premier League (IPL) Season 8 (Apr 1-May 8),312
8,"2015 Copa América (Jun 1-Jul 4, 2015)",309
9,"Super Bowl XLIX (Feb 1, 2015)",265
10,"Super Bowl XLVIII (Feb 2, 2014)",185
11,"NBA Finals (June 4-16, 2015)",173
12,2016 World Series (Oct 25 - Nov 2),150
13,2014 Sochi Winter Olympics,120
14,"Mayweather vs. Pacquiao (May 2, 2015)",115
15,2014 FIFA World Cup Final - Argentina vs. Germany (Jul 13),88
16,2015 NCAA Tournament (Mar 15-Apr 6),76
17,"2015 UEFA Champions League Final (Jun 6, 2015)",76
18,"88th Academy Awards (Feb 24, 2016)",67
19,2014 FIFA World Cup Semi-final - Brazil vs. Germany (Jul 8),66
