,Month,Price in GBP per kilogram
0,Nov '19,2.12
1,Oct '19,2.18
2,Sep '19,2.25
3,Aug '19,1.53
4,Jul '19,1.18
5,Jun '19,1.19
6,May '19,1.28
7,Apr '19,2.06
8,Mar '19,2.22
9,Jan '19,2.75
10,Dec '18,1.05
11,Nov '18,0.98
12,Oct '18,2.75
13,Sep '18,1.77
14,Aug '18,1.05
15,Jul '18,1.06
16,Jun '18,0.98
17,May '18,1.62
18,Apr '18,1.5
19,Dec '17,1.0
20,Nov '17,1.35
21,Oct '17,1.11
22,Sep '17,1.23
23,Aug '17,0.99
24,Jul '17,1.0
25,Jun '17,1.02
26,May '17,1.1
27,Apr '17,1.27
28,Dec '16,0.9
29,Nov '16,1.24
30,Oct '16,1.13
31,Sep '16,1.15
32,Aug '16,1.0
33,Jul '16,0.81
34,Jun '16,0.77
35,May '16,0.91
36,Apr '16,1.24
37,Mar '16,4.0
38,Nov '15,1.03
39,Oct '15,1.55
40,Sep '15,1.64
41,Aug '15,0.99
42,Jul '15,0.89
43,Jun '15,0.93
44,May '15,1.07
45,Apr '15,0.99
46,Mar '15,0.74
