,Month,Price in British pounds per kilogram
0,Nov '19,1.17
1,Oct '19,0.96
2,Sep '19,1.09
3,Mar '19,1.19
4,Feb '19,1.12
5,Jan '19,1.07
6,Dec '18,0.92
7,Nov '18,0.89
8,Oct '18,0.88
9,Sep '18,0.93
10,Mar '18,0.82
11,Feb '18,0.94
12,Jan '18,0.96
13,Dec '17,0.86
14,Nov '17,0.82
15,Oct '17,0.77
16,Sep '17,0.98
17,Aug '17,1.1
18,May '17,0.96
19,Apr '17,0.91
20,Mar '17,0.73
21,Feb '17,0.7
22,Jan '17,0.72
23,Dec '16,0.74
24,Nov '16,0.69
25,Oct '16,0.7
26,Sep '16,0.88
27,May '16,0.89
28,Apr '16,0.7
29,Mar '16,0.76
30,Feb '16,0.72
31,Jan '16,0.65
32,Dec '15,0.58
33,Nov '15,0.57
34,Oct '15,0.66
35,Sep '15,1.0
36,Mar '15,0.7
37,Feb '15,0.77
38,Jan '15,0.73
