,European providers for communication networks,Turnover in million SEK
0,Telia Company AB,79867
1,Tele2 AB,25024
2,Eltel AB,13091
3,Tele2 Sverige AB,13086
4,Telenor Sverige AB,11324
5,Com Hem AB,5016
6,Eltel Networks Infranet AB,4130
7,Relacom Management AB,3588
8,CLX Communications AB (publ),3058
9,Canal Digital Sverige AB,1623
10,Transtema Network Services AB,1219
11,IP-Only Networks AB,1213
12,IP-Only Produktion AB,1203
13,Svenska UMTS-nät AB,1115
14,Transtema Group AB,970
15,Svenska Rymd AB,935
16,A3 Allmänn IT - och Telekom AB (publ),838
17,Rebtel Owners AB,821
18,Nordic Entertainment Group Technology AB,727
19,RebTel Networks AB,716
