,Year,GDP in billion U.S. dollars
0,2024*,2246.02
1,2023*,2182.54
2,2022*,2125.93
3,2021*,2070.11
4,2020*,2013.67
5,2019*,1988.64
6,2018,2075.86
7,2017,1950.7
8,2016,1869.95
9,2015,1833.2
10,2014,2155.15
11,2013,2131.16
12,2012,2073.97
13,2011,2278.38
14,2010,2129.02
15,2009,2190.7
16,2008,2402.06
17,2007,2206.11
18,2006,1944.26
19,2005,1855.66
20,2004,1800.2
21,2003,1572.35
22,2002,1270.43
23,2001,1163.11
24,2000,1144.88
25,1999,1250.17
26,1998,1267.95
27,1997,1240.4
28,1996,1309.29
29,1995,1171.4
30,1994,1088.65
31,1993,1055.48
32,1992,1312.57
33,1991,1236.94
34,1990,1171.0
35,1989,938.27
36,1988,902.14
37,1987,814.27
38,1986,648.77
39,1985,458.07
40,1984,443.57
