,Year,GDP per capita in U.S. dollars
0,2025*,1179.76
1,2024*,1144.97
2,2023*,1099.17
3,2022*,1051.93
4,2021*,992.31
5,2020*,899.22
6,2019*,907.25
7,2018*,915.64
8,2017,853.57
9,2016,803.3
10,2015,772.64
11,2014,872.03
12,2013,827.35
13,2012,801.08
14,2011,861.69
15,2010,732.45
16,2009,721.98
17,2008,716.36
18,2007,616.72
19,2006,539.58
20,2005,504.79
21,2004,453.97
22,2003,404.83
23,2002,345.48
24,2001,316.17
25,2000,277.78
26,1999,331.77
27,1998,329.01
28,1997,325.45
29,1996,355.7
30,1995,356.81
31,1994,282.77
32,1993,379.11
33,1992,389.75
34,1991,387.97
35,1990,387.84
36,1989,345.59
37,1988,287.08
38,1987,290.08
39,1986,252.94
40,1985,185.35
