,Hospital (Location),Number of beds
0,"Methodist Hospital (San Antonio, Texas)",1561
1,Edinburg (Texas) Regional Medical Center,816
2,"Chippenham Hospital (Richmond, Va.)",793
3,"North Shore Medical Center (Miami, Fla.)",771
4,"Henrico Doctor's Hospital (Richmond, Va.)",733
5,Oklahoma University Medical Center (Oklahoma City),690
6,Medical City Hospital (Dallas),668
7,"TriStar Centennial (Nashville, Tenn.)",657
8,Plantation (Fla.) General Hospital,655
9,Sunrise Hospital & Medical Center (Las Vegas),641
