,Musical title (year),Number of performances
0,Les Misérables (1985)*,14156
1,The Phantom of the Opera (1986)*,13877
2,Blood Brothers (1988),10013
3,Cats (1981),8949
4,Mamma Mia! (1999)*,8750
5,Disney's The Lion King (1999)*,8506
6,Starlight Express (1984),7406
7,Chicago (1997 revival),6187
8,Wicked (2006)*,5635
9,Buddy - The Buddy Holly Story (1989),5140
10,We Will Rock You (2002),4659
11,Thriller Live (2009)*,4613
12,Billy Elliot The Musical (2005),4566
13,Miss Saigon (1989),4264
14,Jersey Boys (2008),3787
15,Matilda The Musical! (2011)*,3478
16,Jesus Christ Superstar (1972),3357
17,Me and My Girl (1985 revival),3303
18,Evita (1978),2900
19,The Book of Mormon*,2900
