,Year,Expenditure in current billion U.S. dollars
0,2018*,1453.0
1,2017*,1404.0
2,2016,1352.98
3,2015,1296.37
4,2014,1241.63
5,2013,1192.89
6,2012,1153.87
7,2011,1136.88
8,2010,1124.35
9,2009,1100.9
10,2008,1089.68
11,2007,1054.9
12,2006,984.05
13,2005,925.25
14,2004,875.99
15,2003,830.29
16,2002,795.69
17,2001,752.78
18,2000,705.02
19,1999,649.32
20,1998,603.85
21,1997,570.47
22,1996,538.85
23,1995,508.52
24,1994,485.17
25,1993,460.76
26,1992,439.68
27,1991,417.94
28,1990,395.32
29,1989,365.83
30,1988,333.24
31,1987,301.79
32,1986,280.96
33,1985,259.34
34,1984,239.35
35,1983,220.99
36,1982,204.66
37,1981,190.83
38,1980,176.38
39,1979,160.07
40,1978,143.73
41,1977,132.51
42,1976,121.79
43,1975,114.0
44,1974,103.9
45,1973,91.08
46,1972,82.91
47,1971,76.51
48,1970,71.58
