,Response,Share of pregnant women
0,West Virginia,25.1%
1,Kentucky,18.4%
2,Montana,16.5%
3,Vermont,15.5%
4,Missouri,15.3%
5,Wyoming,14.6%
6,Ohio,14.4%
7,Maine,14.1%
8,Arkansas,13.9%
9,South Dakota,13.6%
10,Indiana,13.5%
11,Tennessee,13.4%
12,Iowa,12.9%
13,North Dakota,12%
14,Michigan,11.7%
15,Oklahoma,11.7%
16,Pennsylvania,11.5%
17,Alaska,11.5%
18,Wisconsin,11.3%
19,New Hampshire,11.1%
20,Kansas,10.2%
21,Alabama,10.1%
22,Mississippi,10%
23,Nebraska,9.8%
24,Oregon,9.5%
25,Delaware,9.1%
26,South Carolina,9.1%
27,Minnesota,8.9%
28,North Carolina,8.9%
29,Idaho,8.7%
30,Rhode Island,7.4%
31,Washington,6.9%
32,Louisiana,6.8%
33,New Mexico,6.5%
34,Illinois,6.4%
35,Colorado,6.2%
36,Virginia,6.2%
37,Maryland,5.9%
38,Georgia,5.3%
39,Massachusetts,5.2%
40,Florida,5.1%
41,Connecticut,4.9%
42,Arizona,4.8%
43,New York,4.8%
44,Nevada,4%
45,New Jersey,3.9%
46,Hawaii,3.6%
47,Texas,3.3%
48,Utah,3%
49,District of Columbia,2.6%
50,California,1.6%
