,Response,Share of respondents
0,Is the person in charge of buying food for the household,65.3%
1,Currently lives with their family,60.9%
2,Prefer to do the groceries because they choose products they like,25.6%
3,Spends at least 500 MEX when buying food,20.2%
4,Writes a shopping list on a piece of paper,20.1%
5,Is the one deciding what to buy in the household,19.3%
6,Does grocery shopping alone,18.6%
7,Buys groceries on Wednesday,10.5%
8,The main reason to do the shopping is because they are the ones paying for it in the household,6.9%
9,Does not like to carry the shopping bags,5.5%
