,Response,Share of respondents
0,My personal information being stolen by criminals hacking into large websites,84%
1,My personal information being lost by organisations not looking after it properly,79%
2,Nuisance and ‘cold’ calls,78%
3,Spam emails and texts,69%
4,The level of control I have over my personal information on social networks,59%
5,Mobile apps accessing information on my phone,54%
6,"Security services (MI5, MI6, GCHQ) having access to details of my telephone calls and internet browsing history",44%
7,Cookies on websites,43%
8,Use of my health records for research purposes,43%
9,Cloud computing,25%
