,Year,Gross domestic product per capita U.S. dollars
0,2025*,103005.71
1,2024*,100277.31
2,2023*,96480.21
3,2022*,94004.04
4,2021*,90357.8
5,2020*,81867.46
6,2019,82483.93
7,2018,83158.27
8,2017,80764.92
9,2016,80628.39
10,2015,82513.63
11,2014,87159.83
12,2013,85675.76
13,2012,83958.55
14,2011,88903.38
15,2010,74884.83
16,2009,70321.9
17,2008,72941.18
18,2007,63959.84
19,2006,57801.08
20,2005,55115.31
21,2004,53446.73
22,2003,48284.64
23,2002,41554.55
24,2001,38715.76
25,2000,37993.8
26,1999,40642.24
27,1998,41547.91
28,1997,40469.55
29,1996,46764.51
30,1995,48833.74
31,1994,41996.76
32,1993,38242.33
33,1992,39686.86
34,1991,38655.81
35,1990,38660.03
36,1989,30545.68
37,1988,31881.4
38,1987,29646.52
39,1986,23816.31
40,1985,16694.34
