,Country,Index score (0-100)
0,Norway,7.84
1,Finland,7.93
2,Denmark,8.13
3,Sweden,9.25
4,Netherlands,9.96
5,Switzerland,10.62
6,Portugal,11.83
7,Germany,12.16
8,Belgium,12.57
9,Ireland,12.6
10,Estonia,12.61
11,Iceland,15.12
12,Luxembourg,15.46
13,Austria,15.78
14,Latvia,18.56
15,Cyprus,20.45
16,Lithuania,21.19
17,Spain,22.26
18,Slovenia,22.64
19,Slovakia,22.67
20,France,22.92
21,United Kingdom,22.93
22,Czechia,23.57
23,Italy,23.69
24,Romania,25.91
25,Croatia,28.51
26,Poland,28.65
27,Greece,28.8
28,Malta,30.16
29,Hungary,30.84
30,Serbia,31.62
31,Ukraine,32.52
32,Bulgaria,35.06
