,Response,Share of respondents
0,"Having your personal, credit card or financial information stolen by computer hackers",72%
1,Being the victim of identity theft,66%
2,Your home being burglarized when you are not there,35%
3,Having your car stolen or broken into,34%
4,Having a school-aged child physically harmed attending school,30%
5,Being a victim of a hate crime,28%
6,Being the victim of terrorism,25%
7,Getting mugged,24%
8,Being attacked while driving your car,23%
9,Your home being burglarized when you are there,20%
10,Being sexually assaulted,19%
11,Getting murdered,17%
12,Being assaulted/killed by a co-worker/employee where you work,6%
