,Year,Number of new cases
0,1/5/21,211444
1,1/4/21,284312
2,1/3/21,396196
3,1/2/21,231427
4,1/1/21,0
5,12/31/20,199163
6,12/30/20,174814
7,12/29/20,145513
8,12/28/20,178311
9,12/27/20,145489
10,12/26/20,192095
11,12/25/20,221145
12,12/24/20,195151
13,12/23/20,182819
14,12/22/20,197199
15,12/21/20,200257
16,12/20/20,402270
17,12/19/20,229915
18,12/18/20,235805
19,12/17/20,201468
20,12/16/20,204281
21,12/15/20,180420
22,12/14/20,212577
23,12/13/20,243209
24,12/12/20,201681
25,12/11/20,230852
26,12/10/20,216360
27,12/9/20,185473
28,12/8/20,173388
29,12/7/20,205837
30,12/6/20,213127
31,12/5/20,218671
32,12/4/20,195769
33,12/3/20,177976
34,12/2/20,151204
35,12/1/20,151674
36,11/30/20,143211
37,11/29/20,175669
38,11/28/20,141222
39,11/27/20,180850
40,11/26/20,165091
41,11/25/20,157180
42,11/24/20,147098
43,11/23/20,183544
44,11/22/20,191033
45,11/21/20,184191
46,11/20/20,164560
47,11/19/20,164044
48,11/18/20,151266
49,11/17/20,137486
50,11/16/20,155001
51,11/15/20,181066
52,11/14/20,193734
53,11/13/20,142076
54,11/12/20,133935
55,11/11/20,122231
56,11/10/20,104659
57,11/9/20,127151
58,11/8/20,131821
59,11/7/20,116780
60,11/6/20,106050
61,11/5/20,88163
62,11/4/20,85412
63,11/3/20,75888
64,11/2/20,80379
65,11/1/20,99356
66,10/31/20,89048
67,10/30/20,80384
68,10/29/20,72042
69,10/28/20,63145
70,10/27/20,62364
71,10/26/20,82626
72,10/25/20,82630
73,10/24/20,72342
74,10/23/20,63361
75,10/22/20,60155
76,10/21/20,59018
77,10/20/20,46378
78,10/19/20,52508
79,10/18/20,69834
80,10/17/20,63044
81,10/16/20,59106
82,10/15/20,46309
83,10/14/20,46308
84,10/13/20,45325
85,10/12/20,53055
86,10/11/20,57828
87,10/10/20,54232
88,10/9/20,52458
89,10/8/20,38904
90,10/7/20,38920
91,10/6/20,36136
92,10/5/20,49036
93,10/4/20,49465
94,10/3/20,46293
95,10/2/20,44985
96,10/1/20,38476
97,9/30/20,32688
98,9/29/20,35217
99,9/28/20,48958
100,9/27/20,50070
101,9/26/20,41254
102,9/25/20,40043
103,9/24/20,49176
104,9/23/20,39145
105,9/22/20,36766
106,9/21/20,41695
107,9/20/20,48266
108,9/19/20,42618
109,9/18/20,40795
110,9/17/20,34078
111,9/16/20,34111
112,9/15/20,35177
113,9/14/20,40126
114,9/13/20,45523
115,9/12/20,37128
116,9/11/20,31988
117,9/10/20,23204
118,9/9/20,26015
119,9/8/20,33486
120,9/7/20,45350
121,9/6/20,49131
122,9/5/20,44563
123,9/4/20,39402
124,9/3/20,42662
125,9/2/20,31808
126,9/1/20,37068
127,8/31/20,43983
128,8/30/20,44002
129,8/29/20,46194
130,8/28/20,45484
131,8/27/20,37030
132,8/26/20,32883
133,8/25/20,37765
134,8/24/20,44946
135,8/23/20,45960
136,8/22/20,43952
137,8/21/20,46259
138,8/20/20,37908
139,8/19/20,39125
140,8/18/20,41073
141,8/17/20,54375
142,8/16/20,55359
143,8/15/20,52799
144,8/14/20,55907
145,8/13/20,54791
146,8/12/20,39894
147,8/11/20,47964
148,8/10/20,53893
149,8/9/20,61028
150,8/8/20,55318
151,8/7/20,53373
152,8/6/20,49629
153,8/5/20,49151
154,8/4/20,47183
155,8/3/20,58388
156,8/2/20,67499
157,8/1/20,67823
158,7/31/20,65406
159,7/30/20,59629
