,university,QS score
0,Universidad de Buenos Aires (Argentina),67.5
1,Universidad Nacional Autónoma de México (Mexico),58.8
2,Universidade de São Paulo (Brazil),54.8
3,Pontificia Universidad Católica de Chile (Chile),53.8
4,Tecnológico de Monterrey (Mexico),49.9
5,Universidad de Chile (Chile),45.6
6,Universidad de los Andes (Colombia),39.6
7,Universidade Estadual de Campinas (Brazil),39.2
8,Universidad Nacional de Colombia (Colombia),36.9
9,Pontificia Universidad Católica Argentina (Argentina),31.9
10,Universidad de Palermo (Argentina),29.0
11,Universidade Federal do Rio de Janeiro (Brazil),28.8
12,Universidad Austral (Argentina),28.2
13,Universidade Federal de São Paulo (Brazil),27.1
14,Pontificia Universidad Javeriana (Colombia),26.8
