,Quarter,Revenue in million U.S. dollars
0,Q2 '21,1151
1,Q1 '21,1459
2,Q4 '20,1387
3,Q3 '20,1593
4,Q2 '20,1348
5,Q1 '20,1209
6,Q4 '19,1238
7,Q3 '19,1289
8,Q2 '19,1286
9,Q1 '19,1137
10,Q4 '18,1582
11,Q3 '18,1160
12,Q2 '18,959
13,Q1 '18,1449
14,Q4 '17,1527
15,Q3 '17,1149
16,Q2 '17,898
17,Q1 '17,1271
18,Q4 '16,1308
19,Q3 '16,1070
20,Q2 '16,815
21,Q1 '16,1203
22,Q4 '15,1185
23,Q3 '15,1126
24,Q2 '15,990
25,Q1 '15,1214
26,Q4 '14,1123
27,Q3 '14,808
28,Q2 '14,695
29,Q1 '14,949
30,Q4 '13,1209
31,Q3 '13,922
32,Q2 '13,711
33,Q1 '13,955
34,Q4 '12,1368
35,Q3 '12,1061
36,Q2 '12,715
37,Q1 '12,999
38,Q4 '11,1090
39,Q3 '11,1053
40,Q2 '11,631
41,Q1 '11,815
42,Q4 '10,979
43,Q3 '10,1243
