,Month,Index number of sales per week
0,Jun 20,72.9
1,May 20,60.0
2,Apr 20,40.7
3,Mar 20,85.1
4,Feb 20,104.6
5,Jan 20,103.2
6,Dec 19,109.0
7,Nov 19,106.7
8,Oct 19,108.1
9,Sep 19,106.6
10,Aug 19,108.5
11,Jul 19,108.8
12,Jun 19,108.6
13,May 19,107.7
14,Apr 19,108.7
15,Mar 19,108.8
16,Feb 19,108.9
17,Jan 19,106.3
18,Dec 18,106.6
19,Nov 18,104.3
20,Oct 18,100.7
21,Sep 18,102.0
22,Aug 18,102.1
23,Jul 18,101.8
24,Jun 18,102.8
25,May 18,102.2
26,Apr 18,100.3
27,Mar 18,96.5
28,Feb 18,102.1
29,Jan 18,100.6
30,Dec 17,101.0
31,Nov 17,102.2
32,Oct 17,101.9
33,Sep 17,100.9
34,Aug 17,100.1
35,Jul 17,100.0
36,Jun 17,99.0
37,May 17,102.7
38,Apr 17,100.0
39,Mar 17,94.6
40,Feb 17,98.0
41,Jan 17,98.8
42,Dec 16,98.3
43,Nov 16,99.5
44,Oct 16,101.8
45,Sep 16,101.0
46,Aug 16,101.1
47,Jul 16,100.2
48,Jun 16,98.7
49,May 16,99.8
50,Apr 16,98.5
51,Mar 16,100.3
52,Feb 16,97.8
53,Jan 16,103.3
