,Response,Share of people
0,Maine,77.1%
1,Mississippi,72.9%
2,Michigan,71.2%
3,North Dakota,70.9%
4,Kentucky,70.9%
5,Minnesota,70.8%
6,Missouri,70.6%
7,Wisconsin,70.5%
8,Montana,70.4%
9,District of Columbia,70%
10,Iowa,69.8%
11,Oregon,69.1%
12,Ohio,68.3%
13,Vermont,68.1%
14,Kansas,67.4%
15,New Hampshire,67.2%
16,Washington,66.7%
17,Alabama,66.4%
18,Maryland,66.3%
19,South Dakota,66.2%
20,Louisiana,65.4%
21,North Carolina,65.2%
22,Pennsylvania,65.2%
23,Virginia,65.1%
24,Alaska,64.4%
25,Rhode Island,64.2%
26,Utah,64.2%
27,West Virginia,63.4%
28,Indiana,62.5%
29,Wyoming,62.4%
30,Illinois,62.4%
31,Delaware,62.4%
32,South Carolina,62.1%
33,Oklahoma,62%
34,Nebraska,61.9%
35,Georgia,61.7%
36,Massachusetts,61.3%
37,New Jersey,61.3%
38,United States,61.3%
39,Tennesee,61.2%
40,Connecticut,60.9%
41,Colorado,60.8%
42,Arizona,60.8%
43,New Mexico,58.1%
44,Idaho,57.2%
45,Florida,56%
46,Arkansas,55.8%
47,New York,55.3%
48,Texas,55.2%
49,Nevada,55%
50,California,51.9%
51,Hawaii,49.5%
