,company,Number of employees
0,LKAB,4188
1,Max Hotell-och Restauranginvest AB,2842
2,StudentConsulting Invest AB,1953
3,Sveaskog AB,840
4,E10 Baren AB,733
5,Lindbäcks Group AB,586
6,BDX Företagen AB,559
7,Smurfit Kappa Kraftliner Piteå AB,532
8,Concentus i Kalix AB,485
9,Luleå Kommunföretag AB,473
10,Gestamp HardTech AB,449
11,Polarbrödsgruppen AB,394
12,Leana Förvaltning AB,390
13,LL Intressenter AB,355
14,Stenvalls Trä AB,337
15,Last & Terräng Häggroths Traktor AB,317
16,IVAB Infjärdens Värme AB,308
17,Älvsbyhus Intressenter AB,302
18,Polarica Holding AB,288
19,Piteå Kommunföretag AB,246
