,player,Payroll in thousand U.S. dollars
0,Bastian Schweinsteiger,5600.0
1,Nicolas Gaitan,2197.5
2,Nemanja Nikolic,1913.33
3,Aleksandar Katai,1380.33
4,Marcelo Ferreira,797.5
5,Dax McCarty,700.0
6,Francisco Calvo,672.6
7,Przemyslaw Frankoswki,661.69
8,Johan Kappelhof,577.83
9,CJ Sapong,475.0
10,David Ousted,361.14
11,Jonathan Bornstein,263.2
12,Richard  Sanchez,152.5
13,Kenneth  Kronholm,151.0
14,Micheal  Azira,146.63
15,Fabian  Herbers,135.0
16,Djordje  Mihailovic,114.6
17,Grant  Lillard,97.5
18,Brandt  Bronico,90.62
19,Cristian  Martinez,88.41
20,Gabriel  Slonina,74.8
21,Diego  Campos,72.83
22,Amando  Moreno,72.75
23,Stefan Cleveland,70.25
24,Raheem  Edwards,70.25
25,Andre  Reynolds,64.25
26,Elliot  Collier,57.23
27,Jeremiah  Gutjahr,56.25
