,Year,Temperature departure in degrees Celsius
0,2019,0.95
1,2018,0.83
2,2017,0.91
3,2016,0.99
4,2015,0.93
5,2014,0.74
6,2013,0.68
7,2012,0.64
8,2011,0.58
9,2010,0.73
10,2009,0.65
11,2008,0.55
12,2007,0.62
13,2006,0.64
14,2005,0.67
15,2004,0.59
16,2003,0.64
17,2002,0.62
18,2001,0.57
19,2000,0.43
20,1999,0.44
21,1998,0.65
22,1997,0.52
23,1996,0.32
24,1995,0.47
25,1994,0.35
26,1993,0.28
27,1992,0.24
28,1991,0.39
29,1990,0.45
30,1989,0.3
31,1988,0.39
32,1987,0.39
33,1986,0.24
34,1985,0.16
35,1984,0.17
36,1983,0.36
37,1982,0.19
38,1981,0.32
39,1980,0.28
40,1979,0.23
41,1978,0.12
42,1977,0.21
43,1976,-0.07
44,1975,0.01
45,1974,-0.06
46,1973,0.19
47,1972,0.04
48,1971,-0.07
49,1970,0.06
50,1969,0.11
51,1968,-0.03
52,1967,0.0
53,1966,-0.01
54,1965,-0.07
55,1964,-0.14
56,1963,0.12
57,1962,0.1
58,1961,0.09
59,1960,0.05
60,1959,0.08
61,1958,0.13
62,1957,0.07
63,1956,-0.18
64,1955,-0.13
65,1954,-0.1
66,1953,0.13
67,1952,0.04
68,1951,0.0
69,1950,-0.15
70,1949,-0.07
71,1948,-0.05
72,1947,-0.04
73,1946,-0.01
74,1945,0.17
75,1944,0.28
76,1943,0.1
77,1942,0.1
78,1941,0.27
79,1940,0.16
80,1939,0.01
81,1938,-0.02
82,1937,-0.01
83,1936,-0.12
84,1935,-0.16
85,1934,-0.11
86,1933,-0.26
87,1932,-0.13
88,1931,-0.06
89,1930,-0.11
90,1929,-0.33
91,1928,-0.18
92,1927,-0.18
93,1926,-0.08
94,1925,-0.18
95,1924,-0.24
96,1923,-0.25
97,1922,-0.24
98,1921,-0.16
99,1920,-0.23
100,1919,-0.25
101,1918,-0.3
102,1917,-0.4
103,1916,-0.32
104,1915,-0.09
105,1914,-0.14
106,1913,-0.32
107,1912,-0.34
108,1911,-0.44
109,1910,-0.4
110,1909,-0.44
111,1908,-0.43
112,1907,-0.38
113,1906,-0.21
114,1905,-0.28
115,1904,-0.46
116,1903,-0.37
117,1902,-0.25
118,1901,-0.15
119,1900,-0.07
120,1899,-0.15
121,1898,-0.27
122,1897,-0.1
123,1896,-0.1
124,1895,-0.24
125,1894,-0.31
126,1893,-0.33
127,1892,-0.31
128,1891,-0.25
129,1890,-0.35
130,1889,-0.09
131,1888,-0.13
132,1887,-0.29
133,1886,-0.25
134,1885,-0.25
135,1884,-0.27
136,1883,-0.18
137,1882,-0.1
138,1881,-0.09
139,1880,-0.12
