,Month,Value in million Australian dollars
0,Mar-2020,0.5
1,Dec-2019,1.8
2,Sep-2019,2.1
3,Jun-2019,2.7
4,Mar-2019,1.2
5,Dec-2018,2.2
6,Sep-2018,3.3
7,Jun-2018,1.9
8,Mar-2018,2
9,Dec-2017,3.5
10,Sep-2017,1
11,Jun-2017,0.6
12,Mar-2017,0.4
13,Dec-2016,0.5
14,Sep-2016,0.2
15,Jun-2016,0.9
16,Mar-2016,0.3
17,Dec-2015,1.5
18,Sep-2015,1.6
19,Jun-2015,1.2
20,Mar-2015,0.9
21,Dec-2014,1.5
22,Sep-2014,1.8
23,Jun-2014,2.7
24,Mar-2014,2.5
25,Dec-2013,3.1
26,Sep-2013*,-
27,Jun-2013,1.7
28,Mar-2013,1.6
29,Dec-2012,1.6
30,Sep-2012,1.4
31,Jun-2012*,-
32,Mar-2012,1.1
33,Dec-2011,2.2
34,Sep-2011*,-
35,Jun-2011*,-
36,Mar-2011,0.6
