,Year,Gross domestic product in billion international dollars
0,2021*,27.98
1,2020*,26.52
2,2019*,27.91
3,2018,27.17
4,2017,26.03
5,2016,25.38
6,2015,24.75
7,2014,24.28
8,2013,23.7
9,2012,23.25
10,2011,22.92
11,2010,22.14
12,2009,22.2
13,2008,22.81
14,2007,22.56
15,2006,21.66
16,2005,20.43
17,2004,19.64
18,2003,18.87
19,2002,17.87
20,2001,17.48
21,2000,16.89
22,1999,16.39
23,1998,16.0
24,1997,16.02
25,1996,16.01
26,1995,15.68
27,1994,14.98
28,1993,14.4
29,1992,13.76
30,1991,13.09
31,1990,12.56
32,1989,11.54
33,1988,10.61
34,1987,10.67
35,1986,9.67
36,1985,8.86
37,1984,8.67
