,Response,Share of population
0,Italy,22.8%
1,Greece,22%
2,Portugal,21.8%
3,Finland,21.8%
4,Germany,21.5%
5,Bulgaria,21.3%
6,Croatia,20.6%
7,Serbia,20.4%
8,Latvia,20.3%
9,France,20.1%
10,Sweden,19.9%
11,Lithuania,19.8%
12,Slovenia,19.8%
13,Estonia,19.8%
14,Czechia,19.6%
15,Denmark,19.6%
16,Spain,19.4%
17,Hungary,19.3%
18,Netherlands,19.2%
19,Belgium,18.9%
20,Austria,18.8%
21,Malta,18.7%
22,Romania,18.5%
23,Switzerland,18.5%
24,United Kingdom,18.4%
25,Poland,17.7%
26,Norway,17.2%
27,Cyprus,16.1%
28,Slovakia,16%
29,Montenegro,15.2%
30,Luxembourg,14.4%
31,Iceland,14.2%
32,Ireland,14.1%
33,North Macedonia,14.1%
34,Turkey,8.8%
