,Response,Percentage of population
0,Chiapas,29.7%
1,Guerrero,26.8%
2,Oaxaca,23.3%
3,Veracruz,17.7%
4,Tabasco,12.3%
5,Campeche,9.8%
6,Puebla,8.6%
7,Morelos,7.4%
8,National average,7.4%
9,San Luis Potosí,7.3%
10,Yucatán,6.7%
11,Hidalgo,6.1%
12,Michoacán,6.1%
13,Nayarit,5.9%
14,State of Mexico,4.9%
15,Guanajuato,4.2%
16,Quintana Roo,3.5%
17,Zacatecas,3.4%
18,Tamaulipas,3.3%
19,Tlaxcala,3.1%
20,Jalisco,3%
21,Sinaloa,2.7%
22,Sonora,2.6%
23,Chihuahua,2.6%
24,Colima,2.4%
25,Durango,2.2%
26,Querétaro,2%
27,Mexico City,1.7%
28,Baja California,1.6%
29,Baja California Sur,1.5%
30,Coahuila,1.4%
31,Aguascalientes,1.2%
32,Nuevo León,0.5%
