,Quarter,Revenue in million U.S. dollars
0,Q3 '19,3929.0
1,Q2 '19,3835.0
2,Q1 '19,3594.0
3,Q4 '18,3960.0
4,Q3 '18,4110.0
5,Q2 '18,3930.0
6,Q1 '18,3330.0
7,Q4 '17,3620.0
8,Q3 '17,3530.0
9,Q2 '17,3079.0
10,Q1 '17,2454.0
11,Q4 '16,2623.0
12,Q3 '16,2737.0
13,Q2 '16,2748.0
14,Q1 '16,2454.0
15,Q4 '15,2887.0
16,Q3 '15,2892.0
17,Q2 '15,2673.0
18,Q1 '15,2053.0
19,Q4 '14,2264.0
20,Q3 '14,2203.0
21,Q2 '14,1932.0
22,Q1 '14,1528.0
23,Q4 '13,1573.0
24,Q3 '13,1453.0
25,Q2 '13,1232.0
26,Q1 '13,961.0
27,Q4 '12,1017.0
28,Q3 '12,994.6
29,Q2 '12,858.8
30,Q1 '12,677.1
31,Q4 '11,710.9
32,Q3 '11,654.7
33,Q2 '11,528.4
34,Q1 '11,372.0
35,Q4 '10,371.3
36,Q3 '10,337.2
37,Q2 '10,282.3
38,Q1 '10,189.6
