,Response,Share of respondents
0,Deliberately making inflammatory statements,52%
1,Being abusive to someone because of their opinion,54%
2,Picking on another person or small group of people for any reason,50%
3,Deliberately making controversial statements,42%
4,"Using a comments section or chatroom to further one's own opinion, even if it has nothing to do with the topic of said comments section/chatroom",35%
5,"Calling someone else (e.g. fellow commentator, article writer, etc.) an offensive name",47%
6,Belittling someone for not understanding a concept or previously presented piece of information,46%
7,Being stubborn about one's own opinion,17%
8,Other,2%
9,Not applicable - no behavior constitutes internet trolling,5%
10,Don't know,14%
