,Response,Share of respondents
0,Sanitizing carts/baskets before use,20%
1,Staying at a distance from other shoppers in stores,15%
2,Making fewer store trips in general,14%
3,Purchasing more non-perishable groceries,13%
4,Stocking-up on groceries/household consumables,12%
5,Buying one or two extra units of specific products,11%
6,Buying more/stocking up on specific products like toilet paper,11%
7,Using store pickup (or more often) for grocery shopping,7%
8,Spending more money on groceries,6%
9,Shopping with different stores than before outbreak,4%
