,Year,Inflation rate compared to previous year
0,2025*,2.5%
1,2024*,2.5%
2,2023*,2.5%
3,2022*,2.5%
4,2021*,2%
5,2020*,2%
6,2019,-3.23%
7,2018,1.96%
8,2017,0.35%
9,2016,-0.19%
10,2015,0.91%
11,2014,-0.26%
12,2013,0.53%
13,2012,3.82%
14,2011,2.77%
15,2010,-0.61%
16,2009,0.86%
17,2008,10.67%
18,2007,-0.23%
19,2006,2.34%
20,2005,6.41%
21,2004,-0.4%
22,2003,2.04%
23,2002,2.3%
24,2001,4.73%
25,2000,-0.17%
26,1999,-1.08%
27,1998,4.91%
28,1997,2.93%
29,1996,6.11%
30,1995,7.77%
31,1994,24.72%
32,1993,0.61%
33,1992,-1.99%
34,1991,2.5%
35,1990,-0.81%
36,1989,-0.32%
37,1988,4.19%
38,1987,-2.85%
39,1986,-2.7%
40,1985,7.05%
