,Year,Gross domestic product in billion international dollars
0,2021*,8.8
1,2020*,8.28
2,2019*,8.71
3,2018*,8.41
4,2017*,8.08
5,2016*,7.89
6,2015,7.86
7,2014,8.09
8,2013,7.6
9,2012,7.05
10,2011,6.62
11,2010,6.24
12,2009,5.86
13,2008,5.61
14,2007,5.24
15,2006,4.94
16,2005,4.55
17,2004,4.22
18,2003,3.96
19,2002,3.8
20,2001,3.65
21,2000,3.52
22,1999,3.38
23,1998,3.29
24,1997,3.11
25,1996,3.04
26,1995,3.25
27,1994,3.45
28,1993,3.52
29,1992,3.66
30,1991,3.55
31,1990,3.24
32,1989,3.02
33,1988,2.87
34,1987,2.64
35,1986,2.44
36,1985,2.32
37,1984,2.01
