,Year,"Deaths per 1,000 live births"
0,2020,12.0
1,2015,14.0
2,2010,21.0
3,2005,33.0
4,2000,43.0
5,1995,51.0
6,1990,54.0
7,1985,57.0
8,1980,73.0
9,1975,100.0
10,1970,143.0
11,1965,210.0
12,1960,204.0
13,1955,205.0
14,1950,320.14
15,1945,327.77
16,1940,341.12
17,1935,370.01
18,1930,392.46
19,1925,397.35
20,1920,402.25
21,1915,407.15
22,1910,411.78
23,1905,415.19
24,1900,416.99
25,1895,417.43
26,1890,417.44
27,1885,417.44
28,1880,417.44
29,1875,417.44
30,1870,422.91
31,1865,440.13
32,1860,482.1
33,1855,457.74
34,1850,417.44
