,American Baseball Teams,Total payroll in million U.S. dollars
0,Boston Red Sox,213.19
1,Chicago Cubs,208.2
2,New York Yankees,206.41
3,Washington Nationals,181.4
4,Houston Astros,177.44
5,Philadelphia Phillies,172.37
6,Los Angeles Angels,167.46
7,New York Mets,161.87
8,Los Angeles Dodgers,152.86
9,St. Louis Cardinals,150.37
10,Colorado Rockies,149.34
11,San Francisco Giants,138.03
12,Seattle Mariners,135.8
13,Milwaukee Brewers,130.39
14,Cincinnati Reds,128.82
15,Minnesota Twins,113.59
16,Atlanta Braves,110.53
17,Arizona Diamondbacks,107.58
18,Cleveland Indians,107.35
19,Texas Rangers,102.46
20,Oakland Athletics,96.83
21,Chicago White Sox,96.7
22,Detroit Tigers,96.24
23,San Diego Padres,94.43
24,Kansas City Royals,83.08
25,Tampa Bay Rays,68.98
26,Baltimore Orioles,67.37
27,Toronto Blue Jays,66.63
28,Pittsburgh Pirates,65.92
29,Miami Marlins,62.91
