,Year,Average number of people per family
0,2020,3.15
1,2019,3.14
2,2018,3.14
3,2017,3.14
4,2016,3.14
5,2015,3.14
6,2014,3.13
7,2013,3.12
8,2012,3.13
9,2011,3.18
10,2010,3.16
11,2009,3.15
12,2008,3.15
13,2007,3.13
14,2006,3.13
15,2005,3.13
16,2004,3.13
17,2003,3.13
18,2002,3.15
19,2001,3.14
20,2000,3.17
21,1999,3.18
22,1998,3.18
23,1997,3.19
24,1996,3.2
25,1995,3.19
26,1994,3.2
27,1993,3.16
28,1992,3.17
29,1991,3.18
30,1990,3.17
31,1989,3.16
32,1988,3.17
33,1987,3.19
34,1986,3.21
35,1985,3.23
36,1984,3.24
37,1983,3.26
38,1982,3.25
39,1981,3.27
40,1980,3.29
41,1979,3.31
42,1978,3.33
43,1977,3.37
44,1976,3.39
45,1975,3.42
46,1974,3.44
47,1973,3.48
48,1972,3.53
49,1971,3.57
50,1970,3.58
51,1960,3.67
