,Month,Cumulative number of cured patients
0,May 17,14630
1,May 16,14460
2,May 15,14301
3,May 14,14111
4,May 13,13937
5,May 12,13732
6,May 11,13697
7,May 10,13642
8,May 9,13411
9,May 8,13201
10,May 7,12980
11,May 6,12731
12,May 5,12441
13,May 4,12378
14,May 3,12309
15,May 2,12211
16,May 1,11892
17,April 30,11576
18,April 29,11283
19,April 28,10943
20,April 27,10878
21,April 26,10785
22,April 25,10417
23,April 24,10122
24,April 23,9800
25,April 22,9433
26,April 21,9002
27,April 20,8895
28,April 19,8757
29,April 18,8348
30,April 17,7961
31,April 16,7526
32,April 15,7107
33,April 14,6868
34,April 13,6707
35,April 12,6463
36,April 11,5986
37,April 10,5568
38,April 9,5146
39,April 8,4681
40,April 7,4157
41,April 6,3986
42,April 5,3751
43,April 4,3247
44,April 3,2872
45,April 2,2495
46,April 1,2132
47,March 31,1696
48,March 30,1527
49,March 29,1359
50,March 28,1063
51,March 27,858
52,March 26,675
53,March 25,547
54,March 24,410
55,March 23,350
56,March 22,340
57,March 21,263
58,March 20,204
