,State,Number of stores
0,California,417
1,Texas,255
2,Florida,221
3,Illinois,83
4,Arizona,82
5,Georgia,64
6,Pennsylvania,50
7,North Carolina,48
8,Washington,42
9,Virginia,40
10,Nevada,39
11,Colorado,38
12,Tennessee,36
13,Oregon,31
14,Oklahoma,27
15,Missouri,27
16,South Carolina,27
17,Maryland,26
18,Alabama,24
19,Utah,22
20,Hawaii,22
21,Indiana,20
22,Wisconsin,19
23,Louisiana,19
24,New Mexico,18
25,Kentucky,15
26,New Jersey,14
27,Kansas,12
28,Idaho,12
29,Arkansas,9
30,Mississippi,9
31,Iowa,6
32,Montana,6
33,Nebraska,5
34,Ohio,5
35,Delaware,3
36,North Dakota,3
37,Wyoming,3
38,South Dakota,2
39,District of Columbia,2
40,Guam,2
