,region,Number of second homes
0,Alsace,18095
1,Aquitaine,203390
2,Auvergne,92297
3,Bourgogne,77215
4,Brittany,228609
5,Centre,77703
6,Champagne-Ardenne,22046
7,Corsica,81744
8,Franche-Comté,33652
9,Île-de-France,122886
10,Languedoc-Roussillon,344422
11,Limousin,54631
12,Lorraine,34160
13,Midi-Pyrénnées,163948
14,Nord-Pas-de-Calais,52629
15,Basse-Normandie,125088
16,Haute-Normandie,37629
17,Pays de la Loire,191699
18,Picardy,38403
19,Poitou-Charentes,119560
20,Provence-Alpes-Côte d'Azur,486121
21,Rhône-Alpes,369033
22,Total,2974958
