,medical specialty,Annual compensation in thousand U.S. dollars
0,Orthopedics,511
1,Plastic surgery,479
2,Otolaryngology,455
3,Cardiology,438
4,Radiology,427
5,Gastroenterology,419
6,Urology,417
7,Dermatology,411
8,Anesthesiology,398
9,Ophthalmology,378
10,Oncology,377
11,General surgery,364
12,Emergency medicine,357
13,Critical care,355
14,Pulmonary medicine,342
15,Pathology,318
16,Physical medicine/rehabilitation,308
17,Obstetricians/gynecologists,308
18,Nephrology,306
19,Allergy/immunology,301
20,Neurology,280
21,Psychiatry,268
22,Rheumatology,262
23,Internal medicine,251
24,Infectious disease,246
25,Diabetes/endocrinology,236
26,Family medicine,234
27,Public health/preventive medicine,232
28,Pediatrics,232
