,Insurer,Amount in billion U.S. dollars
0,National Indemnity Company,27.12
1,Everest Reinsurance Company,6.57
2,"Munich Re America, Corp.",5.5
3,XL Reinsurance America,5.47
4,Swiss Reinsurance America Corporation,4.33
5,Transatlantic Reinsurance Company,3.95
6,Odyssey Group,3.09
7,General Re Group,2.52
8,SCOR U.S. Corporation,1.82
9,Partner Reinsurance Company of the U.S.,1.57
10,AXIS Reinsurance Company,1.18
11,American Agricultural Ins. Co.,0.99
12,Endurance Assurance Corporation,0.96
13,Renaissance Reinsurance US Inc.,0.77
14,The Toa Reinsurance Company of America,0.48
15,Sirius America Insurance Company,0.29
16,EMC Reinsurance Company,0.16
