,State,"Rate per 100,000 inhabitants"
0,Alaska,161.6
1,Michigan,76.9
2,Nevada,76.8
3,Arkansas,72.9
4,Colorado,71.5
5,South Dakota,69.6
6,New Mexico,64.6
7,District of Columbia,64.1
8,Nebraska,63.9
9,Oklahoma,58.3
10,Utah,55.5
11,Kansas,53.8
12,North Dakota,52.2
13,Montana,51.9
14,Texas,51.2
15,Arizona,50.7
16,South Carolina,47.9
17,Missouri,47.5
18,Oregon,47.1
19,Illinois,46.0
20,Vermont,45.8
21,Rhode Island,45.5
22,Washington,45.3
23,Ohio,45.3
24,Idaho,45.1
25,Louisiana,44.7
26,Hawaii,44.0
27,Minnesota,43.9
28,United States,42.6
29,Wyoming,42.1
30,Tennessee,41.7
31,Alabama,40.8
32,Florida,39.6
33,New Hampshire,39.4
34,California,39.2
35,Wisconsin,38.7
36,Kentucky,38.2
37,West Virginia,36.1
38,Indiana,35.4
39,Pennsylvania,35.0
40,Delaware,34.9
41,Massachusetts,34.9
42,Virginia,34.3
43,New York,33.6
44,Maine,33.3
45,Maryland,32.8
46,Iowa,30.9
47,North Carolina,25.4
48,Georgia,25.2
49,Connecticut,23.5
50,Mississippi,18.0
51,New Jersey,16.0
