,Year,Gross domestic product in billion international dollars
0,2021*,3479.34
1,2020*,3316.92
2,2019,3480.55
3,2018,3382.59
4,2017,3259.36
5,2016,3157.63
6,2015,3231.41
7,2014,3315.85
8,2013,3239.23
9,2012,3090.41
10,2011,2974.9
11,2010,2802.32
12,2009,2575.7
13,2008,2559.27
14,2007,2388.73
15,2006,2193.24
16,2005,2047.82
17,2004,1924.53
18,2003,1772.06
19,2002,1720.16
20,2001,1643.21
21,2000,1586.02
22,1999,1486.2
23,1998,1458.22
24,1997,1437.04
25,1996,1366.25
26,1995,1339.24
27,1994,1258.48
28,1993,1164.19
29,1992,1084.02
30,1991,1065.79
31,1990,1020.39
32,1989,1026.37
33,1988,957.02
34,1987,921.98
35,1986,868.46
36,1985,791.6
37,1984,711.14
