,Response,Percentage of newborns with low birthweight
0,Alaska,5.9
1,South Dakota,6.8
2,North Dakota,6.6
3,Washington,6.4
4,Oregon,6.5
5,Minnesota,6.6
6,Idaho,7.0
7,Vermont,6.9
8,Iowa,6.8
9,Kansas,7.0
10,California,6.8
11,Maine,7.1
12,New Hampshire,6.4
13,Montana,7.9
14,Utah,7.2
15,Nebraska,7.0
16,Arizona,7.3
17,Wisconsin,7.4
18,Massachusetts,7.5
19,Rhode Island,8.0
20,New York,7.9
21,Oklahoma,7.8
22,Connecticut,7.8
23,Virginia,8.1
24,Indiana,8.2
25,Pennsylvania,8.2
26,United States,8.2
27,New Jersey,8.1
28,Texas,8.4
29,Hawaii,8.5
30,Illinois,8.4
31,Missouri,8.7
32,Michigan,8.5
33,Nevada,8.5
34,Ohio,8.7
35,Florida,8.7
36,Maryland,8.5
37,Wyoming,8.5
38,New Mexico,9.0
39,Kentucky,9.1
40,Colorado,9.0
41,Tennessee,9.3
42,North Carolina,9.2
43,Arkansas,8.8
44,Delaware,8.9
45,Georgia,9.8
46,South Carolina,9.6
47,West Virginia,9.6
48,District of Columbia,10.1
49,Alabama,10.3
50,Louisiana,10.6
51,Mississippi,11.5
