,State,Number of U.S. Armed Forces personnel
0,California,153505
1,Virginia,122314
2,Texas,117844
3,North Carolina,99193
4,Georgia,65371
5,Florida,60251
6,Washington,58115
7,Hawaii,41803
8,South Carolina,39237
9,Colorado,35012
10,Kentucky,32247
11,Maryland,28259
12,Kansas,21507
13,Illinois,20955
14,Oklahoma,20807
15,New York,19710
16,Arizona,18850
17,Alaska,17732
18,Missouri,16908
19,Louisiana,14419
20,New Mexico,12523
21,Mississippi,12076
22,Nevada,11070
23,District of Columbia,8108
24,Alabama,7962
25,North Dakota,7374
26,Ohio,6558
27,Nebraska,6270
28,New Jersey,6103
29,Connecticut,5547
30,Utah,4277
31,Arkansas,3531
32,Delaware,3506
33,Idaho,3477
34,South Dakota,3413
35,Montana,3303
36,Wyoming,3196
37,Rhode Island,3075
38,Pennsylvania,2230
39,Massachusetts,2123
40,Tennessee,2017
41,New Hampshire,1084
42,Michigan,956
43,Indiana,947
44,Wisconsin,709
45,Oregon,548
46,Minnesota,464
47,Iowa,215
48,West Virginia,135
49,Vermont,135
50,Maine,121
