,Year,Gross domestic product in billion international dollars
0,2021*,816.48
1,2020*,771.96
2,2019,785.84
3,2018,747.54
4,2017,711.85
5,2016,689.32
6,2015,668.31
7,2014,642.43
8,2013,603.6
9,2012,564.23
10,2011,532.76
11,2010,487.96
12,2009,461.59
13,2008,452.94
14,2007,430.17
15,2006,392.47
16,2005,356.97
17,2004,330.62
18,2003,305.65
19,2002,288.77
20,2001,277.33
21,2000,266.9
22,1999,253.64
23,1998,261.0
24,1997,256.64
25,1996,243.92
26,1995,234.71
27,1994,218.52
28,1993,203.48
29,1992,188.03
30,1991,176.17
31,1990,166.46
32,1989,153.87
33,1988,143.17
34,1987,132.9
35,1986,123.08
36,1985,114.01
37,1984,107.18
