,Quarter,Number of users in millions
0,Q4 '19,1657
1,Q3 '19,1623
2,Q2 '19,1587
3,Q1 '19,1562
4,Q4 '18,1523
5,Q3 '18,1495
6,Q2 '18,1471
7,Q1 '18,1449
8,Q4 '17,1401
9,Q3 '17,1368
10,Q2 '17,1325
11,Q1 '17,1284
12,Q4 '16,1227
13,Q3 '16,1179
14,Q2 '16,1128
15,Q1 '16,1090
16,Q4 '15,1038
17,Q3 '15,1007
18,Q2 '15,968
19,Q1 '15,936
20,Q4 '14,890
21,Q3 '14,864
22,Q2 '14,829
23,Q1 '14,802
24,Q4 '13,757
25,Q3 '13,728
26,Q2 '13,699
27,Q1 '13,665
28,Q4 '12,618
29,Q3 '12,584
30,Q2 '12,552
31,Q1 '12,526
32,Q4 '11,483
33,Q3 '11,457
34,Q2 '11,417
35,Q1 '11,372
