,Year,GDP per capita in U.S. dollars
0,2025*,68745.43
1,2024*,65953.62
2,2023*,63124.14
3,2022*,60461.79
4,2021*,57659.73
5,2020*,50339.2
6,2019,51404.43
7,2018,54295.73
8,2017,53459.07
9,2016,51590.47
10,2015,51274.28
11,2014,59528.9
12,2013,60069.35
13,2012,56978.61
14,2011,59454.4
15,2010,51925.6
16,2009,46047.31
17,2008,55592.67
18,2007,53185.65
19,2006,46145.74
20,2005,43048.11
21,2004,42407.83
22,2003,36936.66
23,2002,29566.18
24,2001,26970.43
25,2000,29287.8
26,1999,30601.86
27,1998,30180.21
28,1997,29932.76
29,1996,32614.25
30,1995,29911.82
31,1994,25672.07
32,1993,24034.57
33,1992,32142.44
34,1991,31075.22
35,1990,29792.96
36,1989,24985.75
37,1988,23951.92
38,1987,21282.67
39,1986,17574.09
40,1985,13345.57
