,Players,Salary (in million U.S. dollars)
0,Brad Richards (New York Rangers),12.0
1,Ilya Bryzgalov (Philadelphia Flyers),10.0
2,Christian Ehrhoff (Buffalo Sabres),10.0
3,Vincent Lecavalier (Tampa Bay Lightning),10.0
4,Sidney Crosby (Pittsburgh Penguins),9.0
5,Evgeni Malkin (Pittsburgh Penguins),9.0
6,Alex Ovechkin (Washington Capitals),9.0
7,Z. Chara (Boston Bruins),8.5
8,Dany Heatley (Minnesota Wild),8.0
9,Duncan Keith (Chicago Blackhawks),8.0
10,Jason Spezza (Ottawa Senators),8.0
11,Steven Stamkos (Tampa Bay Lightning),8.0
12,Joe Thornton (San Jose Sharks),8.0
13,Marian Hossa (Chicago Blackhawks),7.9
14,Eric Staal (Carolina Hurricanes),7.75
