,Month,Output price of cereals as producer price index
0,Jun 20,131.5
1,May 20,128.54
2,Apr 20,128.65
3,Mar 20,126.41
4,Feb 20,124.64
5,Jan 20,120.65
6,Dec 19,115.92
7,Nov 19,112.68
8,Oct 19,111.22
9,Sep 19,109.29
10,Aug 19,112.59
11,Jul 19,127.04
12,Jun 19,132.09
13,May 19,137.22
14,Apr 19,140.06
15,Mar 19,141.66
16,Feb 19,146.29
17,Jan 19,148.88
18,Dec 18,146.7
19,Nov 18,150.55
20,Oct 18,151.66
21,Sep 18,151.92
22,Aug 18,146.99
23,Jul 18,134.25
24,Jun 18,129.44
25,May 18,124.95
26,Apr 18,122.53
27,Mar 18,120.84
28,Feb 18,118.26
29,Jan 18,119.57
30,Dec 17,119.0
31,Nov 17,117.34
32,Oct 17,118.61
33,Sep 17,116.11
34,Aug 17,114.58
35,Jul 17,115.84
36,Jun 17,119.64
37,May 17,121.14
38,Apr 17,121.78
39,Mar 17,121.49
40,Feb 17,118.6
41,Jan 17,114.66
42,Dec 16,112.82
43,Nov 16,106.79
44,Oct 16,105.58
45,Sep 16,101.61
46,Aug 16,99.31
47,Jul 16,95.37
48,Jun 16,91.84
49,May 16,90.58
50,Apr 16,89.43
51,Mar 16,90.1
52,Feb 16,90.95
53,Jan 16,93.09
54,Dec 15,93.44
55,Nov 15,94.03
56,Oct 15,93.2
57,Sep 15,91.86
58,Aug 15,94.15
59,Jul 15,100.25
60,Jun 15,99.26
61,May 15,102.18
62,Apr 15,107.14
63,Mar 15,106.49
64,Feb 15,112.22
65,Jan 15,109.96
66,Dec 14,108.45
67,Nov 14,104.6
68,Oct 14,102.23
69,Sep 14,105.22
70,Aug 14,108.2
71,Jul 14,128.41
72,Jun 14,134.43
73,May 14,140.35
74,Apr 14,140.31
75,Mar 14,136.31
76,Feb 14,134.73
77,Jan 14,132.82
