,Year,Gross domestic product in billion international dollars
0,2021*,203.36
1,2020*,192.06
2,2019,203.61
3,2018,200.02
4,2017,192.77
5,2016,184.83
6,2015,185.21
7,2014,183.12
8,2013,173.23
9,2012,162.22
10,2011,150.66
11,2010,136.82
12,2009,130.64
13,2008,128.92
14,2007,118.9
15,2006,113.31
16,2005,105.34
17,2004,97.02
18,2003,87.31
19,2002,83.45
20,2001,78.91
21,2000,74.24
22,1999,71.83
23,1998,74.33
24,1997,71.18
25,1996,67.07
26,1995,64.74
27,1994,62.02
28,1993,58.24
29,1992,55.78
30,1991,52.63
31,1990,48.43
32,1989,45.32
33,1988,43.49
34,1987,38.02
35,1986,39.46
36,1985,37.52
37,1984,34.84
