,Response,Share of respondents
0,groupon.com,75%
1,coupons.com,64%
2,retailmenot.com,62%
3,livingsocial.com,48%
4,redplum.com,32%
5,mycoupons.com,31%
6,couponcabin.com,25%
7,swagbugs.com,23%
8,savingstar.com,22%
9,slickdeals.net,19%
10,fatwallet.com,18%
11,us.toluna.com,14%
12,travelzoo.com,14%
13,shopathome.com,13%
14,woot.com,12%
15,hip2save.com,11%
16,couponmountain.com,9%
17,freeshipping.org,6%
18,couponchief.com,5%
19,yipit.com,4%
20,shesaved.com,3%
21,passionforsavings.com,3%
22,fyvor.com,2%
23,other,2%
