,State,Additional tax burden per filer in U.S. dollars
0,Delaware,"15,843$"
1,Nebraska,"11,351$"
2,Minnesota,"10,770$"
3,Rhode Island,"9,838$"
4,Arkansas,"8,202$"
5,New Jersey,"7,298$"
6,Connecticut,"6,933$"
7,District of Columbia,"5,591$"
8,Missouri,"5,024$"
9,Illinois,"4,570$"
10,Virginia,"4,294$"
11,Massachusetts,"4,031$"
12,New York,"3,622$"
13,Wisconsin,"3,595$"
14,Pennsylvania,"3,547$"
15,California,"3,547$"
16,Colorado,"3,165$"
17,Texas,"3,104$"
18,Oklahoma,"3,075$"
19,Georgia,"2,928$"
20,Ohio,"2,898$"
21,Tennessee,"2,806$"
22,North Carolina,"2,616$"
23,Indiana,"2,421$"
24,Arizona,"2,213$"
25,Kansas,"2,118$"
26,Washington,"2,116$"
27,North Dakota,"1,899$"
28,Kentucky,"1,768$"
29,Iowa,"1,721$"
30,Maryland,"1,599$"
31,Michigan,"1,509$"
32,Utah,"1,496$"
33,Oregon,"1,432$"
34,Vermont,"1,223$"
35,Florida,"1,052$"
36,Louisiana,"1,039$"
37,South Carolina,"1,035$"
38,South Dakota,"1,026$"
39,Alabama,"1,014$"
40,West Virginia,818$
41,Hawaii,811$
42,Nevada,740$
43,Mississippi,727$
44,Alaska,711$
45,Wyoming,605$
46,Idaho,580$
47,Maine,558$
48,New Hampshire,487$
49,Montana,419$
50,New Mexico,390$
