,Month,Units sold
0,Dec '20,963
1,Nov '20,824
2,Oct '20,1053
3,Sep '20,2815
4,Aug '20,1259
5,Jul '20,2480
6,Jun '20,2469
7,May '20,775
8,Apr '20,166
9,Mar '20,3234
10,Feb '20,601
11,Jan '20,1074
12,Dec '19,969
13,Nov '19,939
14,Oct '19,1125
15,Sep '19,2664
16,Aug '19,985
17,Jul '19,1787
18,Jun '19,2509
19,May '19,2248
20,Apr '19,1956
21,Mar '19,4395
22,Feb '19,560
23,Jan '19,931
24,Dec '18,845
25,Nov '18,987
26,Oct '18,1150
27,Sep '18,2249
28,Aug '18,1151
29,Jul '18,1719
30,Jun '18,2842
31,May '18,2418
32,Apr '18,2131
33,Mar '18,4125
34,Feb '18,556
35,Jan '18,957
36,Dec '17,987
37,Nov '17,902
38,Oct '17,1211
39,Sep '17,2502
40,Aug '17,1105
41,Jul '17,1867
42,Jun '17,3007
43,May '17,2403
44,Apr '17,2142
45,Mar '17,3962
46,Feb '17,514
47,Jan '17,759
