,Country,Number of admitted refugees
0,Turkey,3579531
1,Pakistan,1419596
2,Uganda,1359458
3,Germany,1146682
4,Sudan,1055489
5,Iran (Islamic Rep. of),979435
6,Lebanon,916141
7,Bangladesh,854779
8,Ethiopia,733123
9,Jordan,693668
10,Dem. Rep. of the Congo,523733
11,Chad,442670
12,Kenya,438899
13,France,407915
14,Cameroon,406259
15,United States of America,341715
16,China,303379
17,South Sudan,298309
18,Iraq,273986
19,Yemen,268503
20,Egypt,258391
21,Sweden,253787
22,United Rep. of Tanzania,242171
23,Italy,207602
24,India,195103
