,Month,Exchange rate
0,Nov '20,91.14
1,Oct '20,92.46
2,Sep '20,91.78
3,Aug '20,88.3
4,Jul .20,87.69
5,Jun '20,79.63
6,May '20,78.44
7,Apr '20,79.89
8,Mar '20,85.95
9,Feb '20,73.61
10,Jan '20,70.34
11,Dec '19,69.96
12,Nov '19,70.55
13,Oct '19,71.36
14,Sep '19,70.76
15,Aug '19,73.41
16,Jul '19,70.8
17,Jun '19,71.6
18,May '19,72.91
19,Apr '19,72.21
20,Mar '19,72.86
21,Feb '19,75.09
22,Jan '19,75.11
23,Dec '18,79.72
24,Nov '18,76.07
25,Oct '18,74.41
26,Sep '18,76.14
27,Aug '18,79.1
28,Jul '18,73.21
29,Jun '18,73.16
30,May '18,72.58
31,Apr '18,75.96
32,Mar '18,70.89
33,Feb '18,68.75
34,Jan '18,70.07
35,Dec '17,69.39
36,Nov '17,69.19
37,Oct '17,67.87
38,Sep '17,68.25
39,Aug '17,69.12
40,Jul '17,70.46
41,Jun '17,67.54
42,May '17,63.71
43,Apr '17,62.11
44,Mar '17,60.31
45,Feb '17,61.76
46,Jan '17,64.43
47,Dec '16,65.38
48,Nov '16,69.53
49,Oct '16,69.01
50,Sep '16,72.24
51,Aug '16,72.8
52,Jul '16,71.24
53,Jun '16,73.15
54,May '16,74.47
55,Apr '16,75.43
56,Mar '16,77.94
57,Feb '16,85.62
58,Jan '16,83.86
59,Dec '15,80.67
60,Nov '15,69.99
61,Oct '15,70.57
62,Sep '15,73.24
63,Aug '15,74.86
64,Jul '15,66.86
65,Jun '15,62.36
66,May '15,57.46
67,Apr '15,57.65
68,Mar '15,62.44
69,Feb '15,69.2
70,Jan '15,79.93
71,Dec '14,72.34
72,Nov '14,61.35
73,Oct '14,53.86
74,Sep '14,49.77
75,Aug '14,48.74
76,Jul '14,47.52
77,Jun '14,46.38
78,May '14,47.31
79,Apr '14,49.46
80,Mar '14,48.78
81,Feb '14,49.94
82,Jan '14,47.75
