,Month,Market share
0,Dec 20,4.3%
1,Nov 20,4.46%
2,Oct 20,5.64%
3,Sep 20,6%
4,Aug 20,4.74%
5,Jul 20,5.66%
6,Jun 20,8.05%
7,May 20,3.09%
8,Apr 20,0.44%
9,Mar 20,6.03%
10,Feb 20,4.7%
11,Jan 20,5.29%
12,Dec 19,3.17%
13,Nov 19,3.99%
14,Oct 19,5.12%
15,Sep 19,5.2%
16,Aug 19,4.54%
17,Jul 19,5.17%
18,Jun 19,5.1%
19,May 19,3.94%
20,Apr 19,3.77%
21,Mar 19,4.56%
22,Feb 19,3.09%
23,Jan 19,5.33%
24,Dec 18,2.04%
25,Nov 18,3.88%
26,Oct 18,4.61%
27,Sep 18,5.63%
28,Aug 18,3.85%
29,Jul 18,4.05%
30,Jun 18,4.13%
31,May 18,3.52%
32,Apr 18,4%
33,Mar 18,4.75%
34,Feb 18,3.35%
35,Jan 18,4.87%
36,Dec 17,3.4%
37,Nov 17,3.64%
38,Oct 17,3.82%
39,Sep 17,4.51%
40,Aug 17,3.59%
41,Jul 17,3.96%
42,Jun 17,3.93%
43,May 17,3.61%
44,Apr 17,3.36%
45,Mar 17,4.36%
46,Feb 17,3.72%
47,Jan 17,4.26%
48,Dec 16,2.61%
49,Nov 16,3.18%
50,Oct 16,2.96%
51,Sep 16,4.02%
52,Aug 16,2.69%
53,Jul 16,2.99%
54,Jun 16,3.88%
55,May 16,3.67%
56,Apr 16,3.51%
57,Mar 16,4.14%
58,Feb 16,2.97%
59,Jan 16,4.02%
60,Dec 15,2.65%
61,Nov 15,3.45%
62,Oct 15,3.47%
63,Sep 15,4.13%
64,Aug 15,2.93%
65,Jul 15,3.5%
66,Jun 15,3.8%
67,May 15,3.67%
68,Apr 15,3.57%
69,Mar 15,4.17%
70,Feb 15,3.84%
71,Jan 15,4.07%
