,Year,Gross domestic product in billion international dollars
0,2021*,41.93
1,2020*,38.08
2,2019*,39.83
3,2018,38.3
4,2017,35.93
5,2016,33.97
6,2015,32.55
7,2014,31.51
8,2013,30.4
9,2012,29.58
10,2011,28.62
11,2010,27.33
12,2009,26.05
13,2008,25.02
14,2007,22.83
15,2006,20.98
16,2005,19.23
17,2004,17.67
18,2003,16.31
19,2002,15.17
20,2001,14.29
21,2000,12.91
22,1999,11.81
23,1998,10.31
24,1997,9.37
25,1996,10.34
26,1995,9.31
27,1994,8.37
28,1993,7.49
29,1992,6.68
30,1991,7.03
31,1990,9.45
32,1989,10.12
33,1988,8.87
34,1987,8.69
35,1986,8.55
36,1985,7.93
37,1984,7.81
