,Month,Approve,Disapprove,No opinion
0,"Sep 24-29, 1958**",4%,94%,3%
1,"Jun 26 - Jul 1, 1968*",20%,73%,8%
2,"Oct 13-16, 1972*",29%,60%,11%
3,"Jul 21-24, 1978*",36%,54%,10%
4,"Apr 29 - May 2, 1983",43%,50%,7%
5,"Jun 13-16, 1991",48%,42%,10%
6,"Sep 18-20, 1994",48%,37%,15%
7,"Jan 4 - Feb 28, 1997",64%,27%,9%
8,"Jun 3-9, 2002",65%,29%,6%
9,"Nov 11 - Dec 14, 2003",73%,23%,4%
10,"Jun 9-30, 2004",76%,19%,5%
11,"Sep 7-8, 2007",79%,15%,6%
12,"Aug 4-7, 2011",86%,11%,3%
13,"Jun 13 - Jul 5, 2013",87%,11%,2%
