,Year,Reported violent crimes
0,2019,1203808
1,2018,1209997
2,2017,1247917
3,2016,1250162
4,2015,1199310
5,2014,1153022
6,2013,1168298
7,2012,1217057
8,2011,1206005
9,2010,1251248
10,2009,1325896
11,2008,1394461
12,2007,1422970
13,2006,1435123
14,2005,1390745
15,2004,1360088
16,2003,1383676
17,2002,1423677
18,2001,1439480
19,2000,1425486
20,1999,1426044
21,1998,1533887
22,1997,1636096
23,1996,1688540
24,1995,1798792
25,1994,1857670
26,1993,1926017
27,1992,1932274
28,1991,1911767
29,1990,1820127
